Text,Sentiment
Jab tak Kohli captain se aur Shastri coach se dismissed nhi honge tab tak koi big tournament jeetenge hi nhi,0
Really I  agree to you viru paaji ab Ravi shastri ko istifa Dena chaiye,1
 aur  ke players ki mentality aur techniques same thodi hogi ,1
Kewal Ravi shashtri ko bhagao Indian team phir se bare tournament jeetne lagegi dhanyawad ,0
"Jab RohitSharma  Run Bana Raha Tha To Ye Godi Media Bari Bari Baate Karti Thi Ab Yehi Godi Media Villen Bata Rahi Hai, Esliye Kehta Hu Ye kamini Media Hai Desh Ki",0
Kapil Devs innings when India won   for  was a masterpiece Kapil ka kya baat hai ji,2
Kapil sir bhot nice person hai lot of respect from heart ,2
Dhoni jldi no.  per ana chaiye tha jiske  karn vo pant or hardik pandiya KO guidline dete rahte,1
Hardik is like maa main kar ke aya aaj,0
Hardik Pandya Rishabh pant ko kya jarurat Thi wrong time pe wrong shot Lagane Ki   ,0
"new zealand baari team nahi yeh kiya bol rahay hoo, Doo World Cup  aur  kay final taak gai baari team nahi",1
"Zarurat se jiyada over confidence aur media ka jarurat se jiyada bhonkna aur shami ko bahar rakhna bus ye  karan hain haaaar ke, Sari English media kah rahi hi ki shami ko bahar karna badi mistake thi lekin hamara chatukar media kuch aur kahta hi",0
Harr ke teen vilan about news kabar khodd denge tumhari,0
"Top order Jo  par rahey inko ko middle order kardo, Top order koi or lay aaohar barey match may fail hotey Han",1
Abp news faltu channel hai ,0
kharab management sala Jadeja ko puri World cup me sirf  kam match hi khilaye,0
Comment plz  Aug KO konsi movie dekhoge Saaho Batla house,1
Humare upar ke out Hote Hain match khatam Australia ko dekho sir jadeja ne izzat bacha li nhi to kaafi run se haarte,1
Semi final Tak team building chal rahi thi Middle order last me Aya  pura Not one experience player,0
Kl rahul ko itni special treatment kyu even after his flop show Clearly shows flaws in indian selection,0
"Match fix hua tha per low score k liye paisa diya gaya tha, Pura fix karna tha , Overconfidence tha k  ban jayega",0
Yajuvendra chahal bhi h har match m pita phir bhi team m raha kohli ki vajah se,0
KL RAHUL SABSE BEKAR KHILADI HAI KISI KAM KA NAHI HAIIIJITNE MATCHES ME WO KHELA HAI USME USENE SIRF DOT BALLS HE JADA KHELE HAI dhawan fit hota toh india abhi final me hoti,0
Bad umpiring se hare hai  yards ke bahar  fielders hote hai na ki world Cup hmara tha,0
YE MAT BHOOLO KI FIRST  BATSMAN KI VAJSE INDIAN TEAM SEMI FINAL ME AAI OUR YE  HI HAI JISKE VAJSE AAPKI TRP BHADTI THI OUR YE AAPKE VILLAN HO GAYE WAAAAAA,0
"To kon kon kutta bol rha tha ki world cup Indian jitega , india ki aukat ny hai jitne ki",0
Excellent Jadeja and Dhoni The great indian chaser Jeet ki dahleej par paunch chuke they chook gaye Suresh Raina aur Yuvraj ki kami rah gayi thi,1
Doni ko no par ana chaiea tha team me dines ke badle kedar or raydu hate to agar match jit saktaa tha so virat ko captain bilkul nahi ata he oh batesman Accha Ho sakte jadeja Accha kela,1
Itni baar accha kiya wo kuch nhi hai kyai love my India ,2
 WC ke baad sabne dhoni se retirement maangi thi toh ab koi virat se captaincy cheenne ki baat nhi kr rha,1
Na woh  hai Na Kapil Dev hai jinhone  Bharat ki score ko kahan se kahan pahuncha ke jeet dilwaya We salute great Kapil Dev,2
"reporter  kya dhoni ko farewell match milna chahiye , Kapil Dev farewell match milna chahiye ye to nahi kahuga ha par akhiri match jarur milna chahiye",1
Haar ke  Villian ABP walo TRP ke liye bus yeh kar rahe ho Sudhar Jao Please ,1
Dhoni ko do-teen number  per batting ke liye bheje Hote to itne wicket Nahin gire Hote,1
Enjoy wel played newzeland indian ko rotay daik k dil kush hogya ,1
Dil tod Diya yaar kitna ummid tha over confident se match hara diya lakh kiwiyo ne  carore bhartiyo ka sapna tod Diya well played kiwis,1
Dhoni ko retirement Lena chahiye,1
Yhe sab overconfidence k Liye Aysa huwa,0
Sami ko nhi khelaya na isliye hara india agr sami khelta to  wicket leta or  run se jada nhi krne deta,1
"Coach chng krna chaye, Sami ko q nhi khilaya, B Kumar se Acha bowling krne pr v, Ye na insafi h",0
india walo mera baat such ho gai kutto ki tarhaa bahar hogye,0
"Players were superb no doubt, We love n respect you but, Ravi ShastriIndian Coach, Iska politics khelne ka karan india ajj world cup se bahar hai",0
virat ne dhoni ko  ki jagh  number pe bheja big mistake only this reason for lose only this,0
"Virat sher hai lekin ghar me , Kaha gya uska satak ",0
Hum bhi aise hi boodhe ho jayenge World Cup ka wait krte krte ,1
Ind ko rota dekhte jo sakoon milta haiek dam chakaaaaassss,0
"Cricket me har din naya din hota hai koi team kuch bhi kr sakti hai, By the way respect from Pakistan well played Indian team",2
"tum log apne Ghuroor ki waja se haarte ho World Cup ko kohli Cup kehne lg gye wah Bhikmango Bki teams chole bechne ai han kya, Moral Kisi k sath bura na kro khud k sath bura hoga Karma ",0
kutto Kitna mature hoga Jadeja over main na Marta to kya Dhoni ki Tarah tuk tuk karta,0
"agar kohli or sharma ko  chance dete to match jit jate , bowling ke samne kuch nhi khelti",1
Dhonijadeja ne match ko banaye rakkha fir dono laparwah ho gaye aur match haar gaya ,0
Kapil Dev ek number coach Rahenge in team India Ke,1
Virat ki bewkoofi se match haare Hardin ki jagah dhoni ko bhejna chahiye,1
Ager dhoni do no  par atta to jaldi out ho jta to fer team india   b kam par out hoo jati ,1
Aur char sall bad me bhi yohi paristiti hoga  Semifinal me har jaaiga ,1
Team Management kharab hai shewag paji bilkul sahi kehe rahe ,0
Naak kata di en logone Etna Achha khelne ki wajah ye log ek ek ran pe out hote giyaran tak to bna dete,0
"WC me  bhi playoffs hone chahiye, Ipl ki traah",1
Ha ha ha ap log tu lords ma ja rhe thy,1
Mohammed shami ko khelnay kuy nhi liyee Yhe log nay Sabse accha Performance karne k bad bhi,1
Haar k baad byan dena bahut aasan hota hai Well said the legend kapil Dev,1
 Bhot maza aya Tea Was Fanntastic ,2
Jadeja ko dosh mat dowo jitne run banaya hey itne pressure mey koi nahi bana payegaek to usko pehle se khilaya nahi upar se bol rahe ho jadeja mature nahi khelagajab managementagar dhoni ko kartik k jagha bhejte to kuch ho sakta tha,1
No  par sirf yuvi jaa  raina hi chahiye the Bhut galat kiya teem ne unke sath  or natija bugat liya iska ,0
Shewag k bat se Puri trah sehmat hu pant k jagah pr Dhoni sir ko bejna chahiye tha,1
bewakoof Log Aaj Team Dukh Mai Hai Team Ko Sath Dene Ki Wajah Tum Log Kichar Uchal Rahe Ho Ballebaji kharap Nahi Gendbaji Acchi hui Hai,0
Rishab panth ki jagah dhoni ko utarna chaiye tha Ye tha match ka turning point,1
Kapil Dev bhi yaar great player thay or insaan bhi itnay hi achay hainitna soft boltay Hain jawab nahiaik sai aik legend batsmen India Mai paida Hoye magar bowler aaj Tak aisa nahi aaya,2
Yaar Dhoni Ne to  banaaya Bhi Jisne  run banayaa wo real me doshi hai,0
champions trophy me dhony  down me aya tha tab kia kia ye dhoni ye thik nehi dhoni pahle ate to jeet jate india k nasib me jeet nehi tha,1
"Over confidence me haari hai India Kohli ko pehle Captaincy seekhni chahiye Hardik pandya ko kis wajah se upar bheja ye baat samajh nahi ayi , Match haarne ki wajah sirf or sirf kharab Captaincy k sath over confidence hai",0
Newzealand bowling was fantastic  and agr india match fix nhi krte england k sath to aj ek asian team final me hoti english teams buht smart he kese asians ko out krdya indian sirf ander me male rakhte hain buht sharm ki bat he,0
Middle order se opening karao abExpose bhi hoga aur naya middle order strong bhi hoga World ke top  batsman   to  overs sambhal lenge Tab sab sahi ho jayega,1
Dhoni  par aata tau ho sakta hey vo bhi out hokar line me baith jata Jis tarah ki line lagi huyi thi ,1
Dhoni should play no position where he can control innings  built it till end plz virat dhoni ko  pe khilao aur no position fix karlo Mauka do zyada matches ka,2
India nei England kaa match fix Kiyaa thaa,0
New Zealand badi team nhi h  yhi soch aur ghamnd ne le liya india ko,0
Ek match haarte hi  ABP NEWSlagne laga team me changes jaruri ho gye tumhare papa modi ko le lo team me yahi baaki hai  ,0
Ye Rona kab band karo gay Virendar to Moron hay ,0
Tarif to jadeja ki hogi pure  match me fielding ki,2
Ipl nai khelte aur international match pe focus hota to pata chalta middle orders week hai ya experience hota to pressure handle karlate,0
Nahi isme sabse badi kami shami ko na lene ki,1
Media waaley kabhi match khele nahi aur cricket analysis krtey hai chutiyaa,0
Harrr match ma kutta torra Rohit sharma  run bnnaye  aurr koi player na h India ka trafff sa,0
Ache bowling ke saamne hum acha nahi khel sakte Afg vs Ind me dikh gaya tha,0
suresh Raina or Yuvraj Singh jaise middle order Wale player india abh bi miss karti h aise,2
"Love you dhoni sir , But aapko phale aana chaye , Koi bat nhi agla World Cup hamara hoga bhuot Acha paraysh kiya team ne hare jeet aek pahlu hai ye sab Abe karne se kyaa hoga",2
Raydu or Rahane Ko team me hona chahiye tha,1
"Dhoni ko hardik se pehle bhejna chahiye  Dhoni is great player For loss of India, Lekin next world cup ki trophy par India ka hi naam likha hai haaa",2
Ajj yubi ki kami aheshas ho raha hain team ko ,1
confidance achhi chiz he over confidans ne harva diya,0
Yeh  villain kyu hai be kamine yeh sab kya crime kiya hai jeete to hero aur hare toh Villain,1
Bilkulsahi kaha kapil sirmatch finish karne ko ability sirf ek he bande k paas hai aur wo hai virat kohlijab wo iss situation mein hota hai tou finish karta hai match,2
Doob maro ek run bana kar out hogay nikkamo lo ab khao,0
Hahaha india ki to laag gai ab to sub khilariyoon ko bharat me ja kar gandy andy pary gay hahahaha,0
chutie Sehwag ne shayad invent kiya hai  law of average,0
Aur ek baad Jab tak virat Kohli captain rehengeIndia kavi v world cup nahi Jeet payenge reason hum sab jante hai,0
Mai hamesha kapil paji ko sunna chahta hun Motivation hoti hai unki baaton mei,2
Kapil paji ka bolna banta h kiyuki unhone akele dm pr  run markr not out rahkr match bachaya tha  wc me,2
Jabb bhi Kapil paaji ko sunteh Hain Dil Khushi ho jata hai  may I was in gr  listen to the radio as der was no electricity in my houseI luv  heroesGod bless them all,2
sale villain kisko bola be kutte,0
Veeru sir  you are right because dhoni jitna time set hone me liya woh rishabh ki jagha ate toh bat kuch or hoti or aaj India final me hoti ye managment ki galti hai,0
Pehle teen khiladi ne apni jimevari achi tarha nahi nibhai ya phir mach fixing,0
Harne ka main karan team management hai,0
"Yhe indian cricket player ko sayad  crore logon ka khayal nehi raha, Salonko mar jana chahiye",0
Dhoni agar pehele aate to log kehenge itni slow batting par uski slow batting is haar se bahat behetar he,2
Itna jeete uska nai bolte tum log jab haar jaati hai to a jate ho gyan baatne khud jakar khel lete sale,0
Sir ji me to hi  sabal korunga ki Dhoni ko etna last ne qveja,1
Dhoni ko hardik sy pehly jana chahye tha hardik last my finish kurta ,1
Dinesh kartik ki jagah shreyes ayyer or pant ki jagah ishan kisan,1
Haar jeet khel ka hissa hai we love team india we support team india,2
sabse bada dukhchar saal intezaar khud ho ke match gawana Williamson tayler itna sambhalke kyon khele an samajh mein aaya,1
"Musalman ko Nahi khelaoge to Kaise jitoge aapas me laroge to bahar wala maza lega hi jitega hi 
Angrez Isi tarah raz Kya tha Bharat pr",0
England se haarne ke bad b yeh kahty ke ab changes honi chahye,1
"India kv v koi bra match bina muslim player k ni jita hi, Ab kuch dino se team slection me polotics aa chuka hi, Sayad mughe ab gali v sunna pre but ye sach hai",0
Kisi k pass hone pe sb tareef krte haior fail ho jane pe sb kamiyan nikalne lgte h,1
Kapil Dev Tu Tu Ek number ka harami hai Jadeja ki baat kar raha hai uski Maturety ki baat kar raha hai wo Jo sab se Harami Banda Dhoni Hai uski Maturety  kahan gayi thi tab,0
Kapil to aisa mashura de rhe jase dood pite bachche ko pina sikha rhe H,1
Choro world cup ko A jao PAK vs INDIA champions Trophy final ki highlights dekty hain Samjo woi world cup final hy ,1
To salo asi chutiya team select Kyu ki,0
Apni kiye ka mila hi tum logu ka warna nez ki itni team nh hi England wala match tumhe le gya,0
Ms dhoni ko galat  jagah bheja giya  Hardik ki jagah dhoni ko  bhejna tha,1
Dhoni ko hni sirf jimmdar Bana  Rahe aor Baki char Khiladi Sirf pich dekhne ,1
ye Kiya likh rahakha hai chutie villan,0
Kedar jadhav ko team se kyu Bahar rakha rakha  Samjha nahi  Dinesh karthik se better batsman tha,1
"Sehwag Patel and  Kapil, jis baat ka dar tha khauf tha pressure tha",1
galat soch h inki team m kuch change hone chahiye pant ki jagah shreyes ayyer or dinesh kartik ki jagah ishan ishan,0
Jb  over me  runs chahiye or dhoni  balls khel chuka ho tb bhi runs nhi bna pa rha to Dhoni kis kaam ka,0
India baray match ki team he ni hy Sharmaa kholi sb he chotay match my chaltay hn bary match my ni chaltay,0
