Vocabulary,Generalised Spelling
aamir,amir
vaada,wada
<3,love
m,mai
thanku,thank you
subhanallah,subhanallah.
hun,hum
koch,kuch
waiting,wait
ye,yeh
yhe,yeh
aapke,aapki
agr,agar
apko,aapki
att,at
jay,jai
kyuki,kyu ki
plz,please
plzz,please
sabka,sab ka 
ap,aap
apki,aapki
bt,but
gazzab,gazab
greatttt,great love
ham,hum
hameshaa,humesha
plz,please
plzz,please
pr,par
umidd,umid
aj,aaj
apka,aapki
cheeh,chaee
heiiiiinn,hai
kyon,kyo
m,mai
pls,please
pls,please
sayad,shayad
supar,super
tic,tik
aapko,aapki
ap,aap
barna,bharna
becoz,because
hamara,humare
jaha,jha
mousam,mausam
pahale,pahle
pls,please
roza,roz
sb,sab
bt,but
lolz,lol
*just,just
??,?
???,?
????,?
?????,?
????????,?
?????????,?
????????kaise,kaise
??golden,gold
?i,i
?kaha,kha
feeling,feeling
beingsalmankhan,being salman khan
_who,who
bhaai,bhai
1jo,jo
1achha,acha
1actor,actor
17ko,ko
1bar,ek bar
1hr,ek hour
1min,ek min
1responce,response
1st,first
200corore,crore
2lagaobakwas,bakwas
2mint,min
300crore,crore
3question,question
4baj,baje
5000comment,comment
5bje,baje
5minute,min
5mnt,min
6000screen,screen
6caror,caror
a6a,acha
aa,a
aaa,a
aaaa,a
aaaaa,a
aaaaaaa,a
aaaj,aaj
aaam,aam
aaan,aam
aaao,aao
aaap,aap
aaapp,aap
aaapse,aap
aab,ab
aabay,abey
aabhe,abhi
aabhi,abhi
aabki,abki
aacha,acha
aache,acha
aachha,acha
aachi,acha
aachya,acha
aad,aadmi
aadami,aadmi
aadarniy,aadarniye
aade,aadhe
aadh,aadhe
aadha,aadhe
aadhri,aadhe
aaditya,aditya
aadmiyon,aadmi
aae,ae
aaega,aega
aaega,aega
aaegi,aega
aaenge,aega
aaengi,aega
aagai,agai
aagar,agar
aagaya,agai
aagaye,agai
aagya,agai
aagye,agai
aah,ah
aai,agai
aaiga,aega
aaiieytoh,aaiye toh
aajaao,aaja
aajaatah,aaja
aajaengi,aaja
aajaiga,aaja
aajao,aaja
aajate,aaja
aajaye,aaja
aajayegi,aaja
aajdaer,aaja
aajjjaa,aaja
aajkal,aaj kal
aajo,aaja
aajtak,aaj tak
aajtakwalo,aaj tak walo
aajtera,aaj tera
aak,aaka
aakal,akal
aakh,aankh
aakhe,aankh
aako,aaka
aal,all
aala,aaja
aalag,alag
aalam,alam
aalay,aaja
aallaahh,allah
aallah,allah
aallha,allah
aameen,amen
aameen,amen
aamir,amir
aan,an
aanek,an ek
aanahai,aana hai
aanahi,aana hai
aand,and
aane,aana
aanewala,aana wala
aani,aana
aankhirat,aakhiri raat
aankho,aankh
aanne,aana
aanpad,anpad
aantkvadi,aatankwadi
aaoge,aao
aaoge,aao
aaow,aao
"aap


",aap
aapplz,aap please
aapaap,aap
aapmera,aap mera
aap?,aap
aapan,apan
aapas,apas
aapk,aapki
aapka,aapki
aapkaswach,aapka switch
aapke,aapki
aapkey,aapki
aapkia,aapki
aapkki,aapki
aapko,aapki
aapko,aapki
aapko,aapki 
aaplog,aap log
aapn,apan
aapna,apne
aapne,apne
aapnea,apne
aapney,apne
aapse,aap se
aapse,aap se
aapsebs,aap se
aapsy,aap se
aaptho,aap the
aapuski,apas ki
aar,aur
aara,are
aarahe,aa rahe
aaray,are
aare,are
aarha,aa rahe
aarhe,aa rahe
aarpar,aar paar
aas,aisa
aasa,aisa
aasaan,aasan
aasamiyoun,assam
aashirvaad,aashirwaad
aasmaan,asmaan
aasman,asmaan
aatam,aata
aatang,atank
aatankbaad,atankwaad
aatanki,atanki
aatankvad,atankwaad
aatankwadi,atankwaad
aatanvaadi,atankwaad
aate,aata
aati,aata
aati???,aata
aatmaa,aatma
aatmao,aatma
aatmghati,aatma ghati
aaty,aata
aaunga,aunga
aaur,aur
aavaj,awaaz
aavotime,aao time
aavoge,aaoge
aawaaz,awaaz
aawaj,awaaz
aawaz,awaaz
aawunga,aunga
aaya,aaye
aayate,aaye
aayeaa,aaye
aayeg,aaye
aayega,aaye
aayega,aaye
aayege,aaye
aayegi,aaye
aayeh,aaye
aayenga,aaye
aayenge,aaye
aayenge,aaye
aayepolice,aaye police
aayeye,aaye
aayga,aaye
aayi,aaye
aaynge,aaye
aayoge,aaye
aaz,aaj
"aazad
agar",azad agar
aazadi,azad
abkaha,ab kha
aba,ab
abaadi,abadi
abadat,ibadat
abb,ab
abba,ab
